pipeline_name,data_source,type,source_category
acceptance_bin_shares,payments_hf.f_pps_charges,table,internal
acceptance_rate_dashboard,dimensions.date_dimension,table,external
acceptance_rate_dashboard,global_bi_business.plan_status_hist,table,external
acceptance_rate_dashboard,global_bi_business.subscription_plan_mapping,table,external
acceptance_rate_dashboard,payments_hf.customer_cohort_roi,table,internal
acceptance_rate_dashboard,payments_hf.f_orders,table,internal
acceptance_rate_dashboard,payments_hf.referral_channels,table,internal
acceptance_rate_dashboard,public_edw_base_grain_live.customer,table,external
acceptance_rate_dashboard_daily,dimensions.date_dimension,table,external
acceptance_rate_dashboard_daily,dl_bob_live_non_pii.payment_token,table,external
acceptance_rate_dashboard_daily,dl_bob_live_non_pii.subscription,table,external
acceptance_rate_dashboard_daily,payments_hf.customer_cohort_roi,table,internal
acceptance_rate_dashboard_daily,payments_hf.f_orders,table,internal
acceptance_rate_dashboard_daily,payments_hf.referral_channels,table,internal
acceptance_rate_dashboard_daily,public_edw_base_grain_live.customer,table,external
acceptance_rate_loyalty_zero,dimensions.date_dimension,table,external
acceptance_rate_loyalty_zero,marketing_data_product.marketing_attribution_conversions,table,external
acceptance_rate_loyalty_zero,payments_hf.customer_cohort_roi,table,internal
acceptance_rate_loyalty_zero,payments_hf.f_orders,table,internal
acceptance_rate_loyalty_zero,payments_hf.product_dimension_lookup,table,internal
acceptance_rate_loyalty_zero,payments_hf.referral_channels,table,internal
acceptance_rate_loyalty_zero,public_edw_base_grain_live.customer,table,external
acceptance_rate_pps_dashboard,dimensions.date_dimension,table,external
acceptance_rate_pps_dashboard,dl_bob_live_non_pii.sales_order_address,table,external
acceptance_rate_pps_dashboard,payments_hf.business_units,table,internal
acceptance_rate_pps_dashboard,payments_hf.f_orders,table,internal
acceptance_rate_pps_dashboard,payments_hf.f_pps_charges,table,internal
activations,dimensions.date_dimension,table,external
activations,marketing_data_product.marketing_attribution_conversions,table,external
activations,payments_hf.product_dimension_lookup,table,internal
activations,public_edw_base_grain_live.customer,table,external
ascs_customer_attributes,dimensions.date_dimension,table,external
ascs_customer_attributes,global_bi_business.plan_cancellation_survey_hist,table,external
ascs_customer_attributes,payments_hf.ascs_decision_service_simulation,table,internal
ascs_customer_attributes,payments_hf.customer_actuals,table,internal
ascs_customer_attributes,payments_hf.customer_cohort_roi,table,internal
ascs_customer_attributes,payments_hf.empty_conversion_customer_level,table,internal
ascs_customer_attributes,payments_hf.f_orders,table,internal
ascs_customer_attributes,public_edw_base_grain_live.customer,table,external
ascs_dashboard,dimensions.date_dimension,table,external
