pipeline_name,data_source,type,source_category
ascs_decision_service_simulation,payments_hf.f_subscription_cancellation_data,table,internal
car_reactivations,dimensions.customer_dimension,table,external
car_reactivations,dimensions.date_dimension,table,external
car_reactivations,fact_tables.cancellation_survey,table,external
car_reactivations,marketing_data_product.marketing_attribution_conversions,table,external
car_reactivations,materialized_views.cancellation_reasons_lookup,table,external
car_reactivations,materialized_views.cc_errors_processed,table,external
car_reactivations,morpheus.predictions,table,external
car_reactivations,payments_hf.business_units,table,internal
car_reactivations,payments_hf.car_cancellation_data,table,internal
car_reactivations,payments_hf.car_events_data,table,internal
car_reactivations,payments_hf.car_multiple_experiment,table,internal
car_reactivations,payments_hf.car_pps_data,table,internal
car_reactivations,payments_hf.car_pvs_data,table,internal
car_reactivations,payments_hf.car_reactivations_data,table,internal
car_reactivations,payments_hf.customer_actuals,table,internal
car_reactivations,payments_hf.customer_lookup,table,internal
car_reactivations,payments_hf.empty_conversions_sdc,table,internal
car_reactivations,payments_hf.f_experiment_customers,table,internal
car_reactivations,payments_hf.f_orders,table,internal
car_reactivations,public_experimentation_live.customer_level_cancellations,table,external
car_reactivations,public_experimentation_live.customer_level_pauses,table,external
checkout_funnel_backend,abili_hf.fraud_decision,table,external
checkout_funnel_backend,marketing_data_product.marketing_attribution_conversions,table,external
checkout_funnel_backend,payments_hf.business_units,table,internal
checkout_funnel_backend,payments_hf.f_pvs_replica,table,internal
checkout_funnel_backend,payments_hf.verifications,table,internal
checkout_funnel_backend,public_edw_base_grain_live.customer,table,external
checkout_funnel_backend,s3://hf-dp-kts3-avro-pii-live/events/kafka/parquet/topics/public.fraud.checkout.customer.data.v2,parquet,external
checkout_funnel_backend,s3://hf-dp-shared-proto-s3-sinker-non-pii-raw-live/events/kafka/parquet/topics/public.customer.checkout.v1beta2,parquet,external
checkout_funnel_backend,s3://hf-dp-shared-proto-s3-sinker-non-pii-raw-live/events/kafka/parquet/topics/public.payment.method-listed.v1beta1,parquet,external
checkout_funnel_session_level,big_query.ga_events,table,external
customer_actuals,global_bi_business.customer_status_weekly,table,external
customer_actuals,public_edw_base_grain_live.customer,table,external
customer_actuals,public_edw_business_mart_live.order_line_items_eur,table,external
customer_actuals,public_edw_business_mart_live.refunds,table,external
customer_actuals,public_ffdp_finance_pc2_live.box_level_profit_contribution_enriched,table,external
customer_cluster_attributes,dimensions.date_dimension,table,external
customer_cluster_attributes,dl_bob_live_non_pii.sales_order,table,external
customer_cluster_attributes,global_bi_business.plan_status_hist,table,external
customer_cluster_attributes,marketing_data_product.marketing_attribution_conversions,table,external
customer_cluster_attributes,payments_hf.business_units,table,internal
customer_cluster_attributes,payments_hf.ccr_first_activations,table,internal
customer_cluster_attributes,payments_hf.ccr_weekly_reactivations,table,internal
customer_cluster_attributes,payments_hf.checkout_customer_actuals,table,internal
customer_cluster_attributes,payments_hf.checkout_funnel_backend,table,internal
customer_cluster_attributes,payments_hf.currency_dimension_daily,table,internal
customer_cluster_attributes,payments_hf.customer_cac_estimation,table,internal
customer_cluster_attributes,payments_hf.customer_cohort_roi,table,internal
customer_cluster_attributes,payments_hf.initial_orders,table,internal
customer_cluster_attributes,payments_hf.voucher_code_info,table,internal
customer_cluster_attributes,public_edw_base_grain_live.customer,table,external
customer_cluster_attributes,public_edw_business_mart_live.order_line_items_eur,table,external
customer_cluster_attributes,{attributes_table},template_variable,external
customer_cluster_attributes,{base_table},template_variable,external
customer_cluster_attributes,{data_table},template_variable,external
customer_cluster_attributes,{fin_attributes_table},template_variable,external
customer_cluster_attributes,{temp_customer_cluster_base_table},template_variable,external
customer_cohort_roi,dimensions.date_dimension,table,external
customer_cohort_roi,payments_hf.ccr_first_activations,table,internal
customer_cohort_roi,payments_hf.ccr_weekly_reactivations,table,internal
customer_cohort_roi,payments_hf.customer_actuals,table,internal
customer_cohort_roi,payments_hf.customer_cohort_roi,table,internal
customer_cohort_roi,payments_hf.f_meal_selection,table,internal
customer_metrics,dimensions.date_dimension,table,external
customer_metrics,payments_hf.customer_cohort_roi,table,internal
customer_metrics,payments_hf.f_orders,table,internal
customer_metrics,payments_hf.payments_morpheus,table,internal
dash_ga_error,big_query.ga_events,table,external
dash_ga_error,dimensions.date_dimension,table,external
ek_metrics_acceptance_rate,dl_bob_live_non_pii.customer,table,external
ek_metrics_acceptance_rate,payments_hf.activations,table,internal
ek_metrics_acceptance_rate,payments_hf.ccr_weekly_reactivations,table,internal
ek_metrics_acceptance_rate,payments_hf.customer_cohort_roi,table,internal
ek_metrics_acceptance_rate,payments_hf.f_orders,table,internal
ek_metrics_cpm,dl_bob_live_non_pii.customer,table,external
ek_metrics_cpm,payments_hf.f_orders,table,internal
ek_metrics_cpm,payments_hf.f_pvs_replica,table,internal
ek_metrics_ec,payments_hf.f_empty_conversions,table,internal
ek_metrics_ec,payments_hf.referral_channels,table,internal
ek_metrics_tokenisation,dl_bob_live_non_pii.customer,table,external
