Metric,Fixed,Std Dev,Percentile,Z-Score,Hybrid
Payment Page Visit to Success,10.0%,85.8%,100.0%,105.1%,92.9%
Payment Page Visit to Success (Backend),10.0%,88.4%,89.9%,103.9%,89.1%
Select to Success,10.0%,59.8%,60.3%,73.5%,60.0%
Total Duplicate Rate,10.0%,214.3%,213.6%,255.0%,214.0%
Total Duplicate Block Rate,10.0%,350.5%,309.3%,424.2%,329.9%
Payment Fraud Block Rate,10.0%,88.9%,100.0%,110.0%,94.4%
Reactivation Rate,10.0%,18.0%,16.5%,20.8%,17.2%
AR Pre Dunning,5.0%,15.1%,9.5%,18.0%,12.3%
Acceptance LL0 (Initial Charge),5.0%,16.0%,15.4%,18.9%,15.7%
Acceptance LL0 and LL1+ (Recurring Charge),5.0%,16.6%,13.3%,19.8%,14.9%
Ship Rate,10.0%,1000.0%,210.9%,1000.0%,644.2%
Recovery W0,10.0%,166.0%,146.8%,197.9%,156.4%
